ts_ct,ts_utc,waitlist_status,parties_ahead,wait_min_minutes,wait_max_minutes,party_size,source,note
2026-09-04T11:19:00,2026-09-04T16:19:00.028Z,OPEN,11,20,30,2,api,
2026-09-04T11:20:00,2026-09-04T16:20:00.009Z,OPEN,12,20,30,2,api,
2026-09-04T11:21:00,2026-09-04T16:21:00.016Z,OPEN,12,20,30,2,api,
2026-09-04T11:22:00,2026-09-04T16:22:00.019Z,OPEN,12,20,30,2,api,
2026-09-04T11:23:00,2026-09-04T16:23:00.001Z,OPEN,12,20,30,2,api,
2026-09-04T11:24:00,2026-09-04T16:24:00.017Z,OPEN,12,20,30,2,api,
2026-09-04T11:25:00,2026-09-04T16:25:00.028Z,OPEN,9,15,25,2,api,
2026-09-04T11:26:00,2026-09-04T16:26:00.028Z,OPEN,9,15,25,2,api,
2026-09-04T11:27:00,2026-09-04T16:27:00.028Z,OPEN,9,15,25,2,api,
2026-09-04T11:28:00,2026-09-04T16:28:00.028Z,OPEN,9,15,25,2,api,
2026-09-04T11:29:00,2026-09-04T16:29:00.017Z,OPEN,9,15,25,2,api,
2026-09-04T11:30:00,2026-09-04T16:30:00.027Z,OPEN,7,15,25,2,api,
2026-09-04T11:31:00,2026-09-04T16:31:00.028Z,OPEN,7,15,25,2,api,
2026-09-04T11:32:00,2026-09-04T16:32:00.028Z,OPEN,6,15,25,2,api,
2026-09-04T11:33:00,2026-09-04T16:33:00.028Z,OPEN,6,15,25,2,api,
2026-09-04T11:34:00,2026-09-04T16:34:00.028Z,OPEN,5,10,20,2,api,
2026-09-04T11:35:00,2026-09-04T16:35:00.028Z,OPEN,5,10,20,2,api,
2026-09-04T11:36:00,2026-09-04T16:36:00.028Z,OPEN,5,10,20,2,api,
2026-09-04T11:37:00,2026-09-04T16:37:00.027Z,OPEN,5,10,20,2,api,
2026-09-04T11:38:00,2026-09-04T16:38:00.027Z,OPEN,4,10,20,2,api,
2026-09-04T11:39:00,2026-09-04T16:39:00.028Z,OPEN,4,10,20,2,api,
2026-09-04T11:40:00,2026-09-04T16:40:00.028Z,OPEN,4,10,20,2,api,
2026-09-04T11:41:00,2026-09-04T16:41:00.028Z,OPEN,5,10,20,2,api,
2026-09-04T11:42:00,2026-09-04T16:42:00.028Z,OPEN,5,10,20,2,api,
2026-09-04T11:43:00,2026-09-04T16:43:00.025Z,OPEN,5,10,20,2,api,
2026-09-04T11:44:00,2026-09-04T16:44:00.028Z,OPEN,3,10,20,2,api,
2026-09-04T11:45:00,2026-09-04T16:45:00.027Z,OPEN,2,10,20,2,api,
2026-09-04T11:46:00,2026-09-04T16:46:00.009Z,OPEN,2,10,20,2,api,
2026-09-04T11:47:00,2026-09-04T16:47:00.028Z,OPEN,1,5,15,2,api,
2026-09-04T11:48:00,2026-09-04T16:48:00.029Z,OPEN,2,10,20,2,api,
2026-09-04T11:49:00,2026-09-04T16:49:00.028Z,OPEN,3,10,20,2,api,
2026-09-04T11:50:00,2026-09-04T16:50:00.028Z,OPEN,3,10,20,2,api,
2026-09-04T11:51:00,2026-09-04T16:51:00.017Z,OPEN,2,10,20,2,api,
2026-09-04T11:52:00,2026-09-04T16:52:00.025Z,OPEN,1,5,15,2,api,
2026-09-04T11:53:00,2026-09-04T16:53:00.028Z,OPEN,1,5,15,2,api,
2026-09-04T11:54:00,2026-09-04T16:54:00.028Z,OPEN,2,10,20,2,api,
2026-09-04T11:55:00,2026-09-04T16:55:00.028Z,OPEN,3,10,20,2,api,
2026-09-04T11:56:00,2026-09-04T16:56:00.028Z,OPEN,3,10,20,2,api,
2026-09-04T11:57:00,2026-09-04T16:57:00.028Z,OPEN,2,10,20,2,api,
2026-09-04T11:58:00,2026-09-04T16:58:00.028Z,OPEN,2,10,20,2,api,
2026-09-04T11:59:00,2026-09-04T16:59:00.009Z,OPEN,1,5,15,2,api,
2026-09-04T12:00:00,2026-09-04T17:00:00.012Z,OPEN,1,5,15,2,api,
2026-09-04T12:01:00,2026-09-04T17:01:00.027Z,OPEN,4,10,20,2,api,
2026-09-04T12:02:00,2026-09-04T17:02:00.017Z,OPEN,5,10,20,2,api,
2026-09-04T12:03:00,2026-09-04T17:03:00.027Z,OPEN,5,10,20,2,api,
2026-09-04T12:04:00,2026-09-04T17:04:00.025Z,OPEN,5,10,20,2,api,
2026-09-04T12:05:00,2026-09-04T17:05:00.027Z,OPEN,4,10,20,2,api,
2026-09-04T12:06:00,2026-09-04T17:06:00.028Z,OPEN,3,10,20,2,api,
2026-09-04T12:07:00,2026-09-04T17:07:00.027Z,OPEN,5,10,20,2,api,
2026-09-04T12:08:00,2026-09-04T17:08:00.028Z,OPEN,5,10,20,2,api,
2026-09-04T12:09:00,2026-09-04T17:09:00.020Z,OPEN,6,15,25,2,api,
2026-09-04T12:10:00,2026-09-04T17:10:00.028Z,OPEN,6,15,25,2,api,
2026-09-04T12:11:00,2026-09-04T17:11:00.029Z,OPEN,6,15,25,2,api,
2026-09-04T12:12:00,2026-09-04T17:12:00.009Z,OPEN,6,15,25,2,api,
2026-09-04T12:13:00,2026-09-04T17:13:00.028Z,OPEN,7,15,25,2,api,
2026-09-04T12:14:00,2026-09-04T17:14:00.025Z,OPEN,7,15,25,2,api,
2026-09-04T12:15:00,2026-09-04T17:15:00.027Z,OPEN,9,15,25,2,api,
2026-09-04T12:16:00,2026-09-04T17:16:00.028Z,OPEN,8,15,25,2,api,
2026-09-04T12:17:00,2026-09-04T17:17:00.028Z,OPEN,8,15,25,2,api,
2026-09-04T12:18:00,2026-09-04T17:18:00.013Z,OPEN,10,20,30,2,api,
2026-09-04T12:19:00,2026-09-04T17:19:00.016Z,OPEN,7,15,25,2,api,
2026-09-04T12:20:00,2026-09-04T17:20:00.021Z,OPEN,6,15,25,2,api,
2026-09-04T12:21:00,2026-09-04T17:21:00.028Z,OPEN,6,15,25,2,api,
2026-09-04T12:22:00,2026-09-04T17:22:00.025Z,OPEN,6,15,25,2,api,
2026-09-04T12:23:00,2026-09-04T17:23:00.028Z,OPEN,6,15,25,2,api,
2026-09-04T12:24:00,2026-09-04T17:24:00.028Z,OPEN,6,15,25,2,api,
2026-09-04T12:25:00,2026-09-04T17:25:00.009Z,OPEN,6,15,25,2,api,
2026-09-04T12:26:00,2026-09-04T17:26:00.001Z,OPEN,6,15,25,2,api,
2026-09-04T12:27:00,2026-09-04T17:27:00.004Z,OPEN,6,15,25,2,api,
2026-09-04T12:28:00,2026-09-04T17:28:00.010Z,OPEN,6,15,25,2,api,
2026-09-04T12:29:00,2026-09-04T17:29:00.028Z,OPEN,5,10,20,2,api,
2026-09-04T12:30:00,2026-09-04T17:30:00.028Z,OPEN,3,10,20,2,api,
2026-09-04T12:31:00,2026-09-04T17:31:00.027Z,OPEN,3,10,20,2,api,
2026-09-04T12:32:00,2026-09-04T17:32:00.028Z,OPEN,5,10,20,2,api,
2026-09-04T12:33:00,2026-09-04T17:33:00.017Z,OPEN,5,10,20,2,api,
2026-09-04T12:34:00,2026-09-04T17:34:00.020Z,OPEN,4,10,20,2,api,
2026-09-04T12:35:00,2026-09-04T17:35:00.023Z,OPEN,2,10,20,2,api,
2026-09-04T12:36:00,2026-09-04T17:36:00.026Z,OPEN,1,5,15,2,api,
2026-09-04T12:37:00,2026-09-04T17:37:00.028Z,OPEN,1,5,15,2,api,
2026-09-04T12:38:00,2026-09-04T17:38:00.009Z,OPEN,1,5,15,2,api,
2026-09-04T12:39:00,2026-09-04T17:39:00.028Z,OPEN,1,5,15,2,api,
2026-09-04T12:40:00,2026-09-04T17:40:00.025Z,OPEN,1,5,15,2,api,
2026-09-04T12:41:00,2026-09-04T17:41:00.027Z,OPEN,1,5,15,2,api,
2026-09-04T12:42:00,2026-09-04T17:42:00.017Z,OPEN,1,5,15,2,api,
2026-09-04T12:43:00,2026-09-04T17:43:00.028Z,OPEN,1,5,15,2,api,
2026-09-04T12:44:00,2026-09-04T17:44:00.017Z,OPEN,1,5,15,2,api,
2026-09-04T12:45:00,2026-09-04T17:45:00.027Z,OPEN,1,5,15,2,api,
2026-09-04T12:46:00,2026-09-04T17:46:00.028Z,OPEN,1,5,15,2,api,
2026-09-04T12:47:00,2026-09-04T17:47:00.001Z,OPEN,1,5,15,2,api,
2026-09-04T12:48:00,2026-09-04T17:48:00.028Z,OPEN,1,5,15,2,api,
2026-09-04T12:49:00,2026-09-04T17:49:00.028Z,OPEN,1,5,15,2,api,
2026-09-04T12:50:00,2026-09-04T17:50:00.017Z,OPEN,1,5,15,2,api,
2026-09-04T12:51:00,2026-09-04T17:51:00.020Z,OPEN,1,5,15,2,api,
2026-09-04T12:52:00,2026-09-04T17:52:00.028Z,OPEN,1,5,15,2,api,
2026-09-04T12:53:00,2026-09-04T17:53:00.014Z,OPEN,1,5,15,2,api,
2026-09-04T12:54:00,2026-09-04T17:54:00.028Z,OPEN,1,5,15,2,api,
2026-09-04T12:55:00,2026-09-04T17:55:00.017Z,OPEN,1,5,15,2,api,
2026-09-04T12:56:00,2026-09-04T17:56:00.019Z,OPEN,1,5,15,2,api,
2026-09-04T12:57:00,2026-09-04T17:57:00.022Z,OPEN,1,5,15,2,api,
2026-09-04T12:58:00,2026-09-04T17:58:00.025Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T12:59:00,2026-09-04T17:59:00.003Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:00:00,2026-09-04T18:00:00.017Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:01:00,2026-09-04T18:01:00.022Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:02:00,2026-09-04T18:02:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:03:00,2026-09-04T18:03:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:04:00,2026-09-04T18:04:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:05:00,2026-09-04T18:05:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:06:00,2026-09-04T18:06:00.027Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:07:00,2026-09-04T18:07:00.025Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:08:00,2026-09-04T18:08:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:09:00,2026-09-04T18:09:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:10:00,2026-09-04T18:10:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:11:00,2026-09-04T18:11:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:12:00,2026-09-04T18:12:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:13:00,2026-09-04T18:13:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:14:00,2026-09-04T18:14:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:15:00,2026-09-04T18:15:00.023Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:16:00,2026-09-04T18:16:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:17:00,2026-09-04T18:17:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:18:00,2026-09-04T18:18:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:19:00,2026-09-04T18:19:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:20:00,2026-09-04T18:20:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:21:00,2026-09-04T18:21:00.009Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:22:00,2026-09-04T18:22:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:23:00,2026-09-04T18:23:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:24:00,2026-09-04T18:24:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:25:00,2026-09-04T18:25:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:26:00,2026-09-04T18:26:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:27:00,2026-09-04T18:27:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:28:00,2026-09-04T18:28:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:29:00,2026-09-04T18:29:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:30:00,2026-09-04T18:30:00.009Z,EMPTY_CLOSED,0,5,15,2,api,
2026-09-04T13:31:00,2026-09-04T18:31:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
