ts_ct,ts_utc,waitlist_status,parties_ahead,wait_min_minutes,wait_max_minutes,party_size,source,note
2026-08-15T08:01:00,2026-08-15T13:01:00.007Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:02:00,2026-08-15T13:02:00.027Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:03:00,2026-08-15T13:03:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:04:00,2026-08-15T13:04:00.015Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:05:00,2026-08-15T13:05:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:06:00,2026-08-15T13:06:00.019Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:07:00,2026-08-15T13:07:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:08:00,2026-08-15T13:08:00.003Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:09:00,2026-08-15T13:09:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:10:00,2026-08-15T13:10:00.026Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:11:00,2026-08-15T13:11:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:12:00,2026-08-15T13:12:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:13:00,2026-08-15T13:13:00.025Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:14:00,2026-08-15T13:14:00.030Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:15:00,2026-08-15T13:15:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:16:00,2026-08-15T13:16:00.025Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:17:00,2026-08-15T13:17:00.027Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:18:00,2026-08-15T13:18:00.003Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:19:00,2026-08-15T13:19:00.003Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:20:00,2026-08-15T13:20:00.006Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:21:00,2026-08-15T13:21:00.010Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:22:00,2026-08-15T13:22:00.001Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:23:00,2026-08-15T13:23:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:24:00,2026-08-15T13:24:00.030Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:25:00,2026-08-15T13:25:00.028Z,OPEN,1,5,15,2,api,
2026-08-15T08:26:00,2026-08-15T13:26:00.019Z,OPEN,1,5,15,2,api,
2026-08-15T08:27:00,2026-08-15T13:27:00.028Z,OPEN,1,5,15,2,api,
2026-08-15T08:28:00,2026-08-15T13:28:00.015Z,OPEN,1,5,15,2,api,
2026-08-15T08:29:00,2026-08-15T13:29:00.028Z,OPEN,1,5,15,2,api,
2026-08-15T08:30:00,2026-08-15T13:30:00.029Z,OPEN,1,5,15,2,api,
2026-08-15T08:31:00,2026-08-15T13:31:00.013Z,OPEN,1,5,15,2,api,
2026-08-15T08:32:00,2026-08-15T13:32:00.019Z,OPEN,1,5,15,2,api,
2026-08-15T08:33:00,2026-08-15T13:33:00.028Z,OPEN,1,5,15,2,api,
2026-08-15T08:34:00,2026-08-15T13:34:00.005Z,OPEN,2,10,20,2,api,
2026-08-15T08:35:00,2026-08-15T13:35:00.028Z,OPEN,2,10,20,2,api,
2026-08-15T08:36:00,2026-08-15T13:36:00.028Z,OPEN,2,10,20,2,api,
2026-08-15T08:37:00,2026-08-15T13:37:00.028Z,OPEN,2,10,20,2,api,
2026-08-15T08:38:00,2026-08-15T13:38:00.028Z,OPEN,3,10,20,2,api,
2026-08-15T08:39:00,2026-08-15T13:39:00.003Z,OPEN,2,10,20,2,api,
2026-08-15T08:40:00,2026-08-15T13:40:00.028Z,OPEN,2,10,20,2,api,
2026-08-15T08:41:00,2026-08-15T13:41:00.027Z,OPEN,2,10,20,2,api,
2026-08-15T08:42:00,2026-08-15T13:42:00.028Z,OPEN,2,10,20,2,api,
2026-08-15T08:43:00,2026-08-15T13:43:00.003Z,OPEN,2,10,20,2,api,
2026-08-15T08:44:00,2026-08-15T13:44:00.006Z,OPEN,2,10,20,2,api,
2026-08-15T08:45:00,2026-08-15T13:45:00.019Z,OPEN,2,10,20,2,api,
2026-08-15T08:46:00,2026-08-15T13:46:00.014Z,OPEN,2,10,20,2,api,
2026-08-15T08:47:00,2026-08-15T13:47:00.027Z,OPEN,2,10,20,2,api,
2026-08-15T08:48:00,2026-08-15T13:48:00.003Z,OPEN,2,10,20,2,api,
2026-08-15T08:49:00,2026-08-15T13:49:00.006Z,OPEN,2,10,20,2,api,
2026-08-15T08:50:00,2026-08-15T13:50:00.003Z,OPEN,3,10,20,2,api,
2026-08-15T08:51:00,2026-08-15T13:51:00.028Z,OPEN,4,10,20,2,api,
2026-08-15T08:52:00,2026-08-15T13:52:00.003Z,OPEN,5,10,20,2,api,
2026-08-15T08:53:00,2026-08-15T13:53:00.028Z,OPEN,8,15,25,2,api,
2026-08-15T08:54:00,2026-08-15T13:54:00.003Z,OPEN,12,20,30,2,api,
2026-08-15T08:55:00,2026-08-15T13:55:00.027Z,OPEN,13,25,35,2,api,
2026-08-15T08:56:00,2026-08-15T13:56:00.027Z,OPEN,14,25,35,2,api,
2026-08-15T08:57:00,2026-08-15T13:57:00.029Z,OPEN,13,25,35,2,api,
2026-08-15T08:58:00,2026-08-15T13:58:00.000Z,OPEN,11,20,30,2,api,
2026-08-15T08:59:00,2026-08-15T13:59:00.010Z,OPEN,13,25,35,2,api,
